source_file,ground_truth_contract_id,expected_kb_ids,candidate_result_count,candidate_recall,candidate_precision,candidate_f1,llm_only_recall,llm_only_precision,llm_only_f1,final_kb_ids,final_result_count,final_recall,final_precision,final_f1,kb1_recall,kb1_precision,kb2_recall,kb2_precision,kb3_recall,kb3_precision,score_threshold,min_results,max_results,exact_match,any_match
C13_HighlandPark.pdf,C13,KB1_1; KB1_16; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_11; KB2_12; KB2_2; KB3_1; KB3_2,30,1.0,0.4,0.5714285714285715,1.0,0.6,0.7499999999999999,KB1_1; KB1_15; KB1_16; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB2_3; KB3_1; KB3_10; KB3_18; KB3_2,13,0.6666666666666666,0.6153846153846154,0.64,0.5,0.75,0.75,0.6,1.0,0.5,0.55,8,20,False,True
C14_BeaconHill.pdf,C14,KB1_1; KB1_12; KB1_17; KB1_3; KB1_4; KB1_6; KB1_7; KB2_1; KB2_12; KB2_3; KB3_1; KB3_9,30,1.0,0.4,0.5714285714285715,0.8333333333333334,0.5,0.625,KB1_1; KB1_16; KB1_2; KB1_5; KB1_6; KB1_7; KB2_1; KB2_15; KB2_2; KB2_3; KB3_1; KB3_10; KB3_16; KB3_9,14,0.5833333333333334,0.5,0.5384615384615384,0.42857142857142855,0.5,0.6666666666666666,0.5,1.0,0.5,0.55,8,20,False,True
C15_Crestview.pdf,C15,KB1_1; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_12; KB2_2; KB3_1,30,1.0,0.3,0.4615384615384615,0.7777777777777778,0.35,0.48275862068965514,KB1_1; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB3_10; KB3_18,8,0.3333333333333333,0.375,0.35294117647058826,0.4,0.5,0.3333333333333333,0.5,0.0,0.0,0.55,8,20,False,True
C16_Windsor.pdf,C16,KB1_1; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_12; KB2_2; KB3_1,30,0.7777777777777778,0.23333333333333334,0.35897435897435903,0.6666666666666666,0.3,0.41379310344827586,KB1_1; KB1_16; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB3_1; KB3_10; KB3_18,10,0.5555555555555556,0.5,0.5263157894736842,0.4,0.6666666666666666,0.6666666666666666,0.5,1.0,0.3333333333333333,0.55,8,20,False,True
C17_AspenTrail.pdf,C17,KB1_1; KB1_12; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_12; KB2_3; KB3_1,30,0.9,0.3,0.45000000000000007,0.9,0.45,0.6,KB1_1; KB1_15; KB1_16; KB1_2; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB2_3; KB3_1; KB3_10; KB3_18,13,0.5,0.38461538461538464,0.4347826086956522,0.3333333333333333,0.4,0.6666666666666666,0.4,1.0,0.3333333333333333,0.55,8,20,False,True
C18_Stonebridge.pdf,C18,KB1_1; KB1_12; KB1_15; KB1_16; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_10; KB2_11; KB2_12; KB2_2; KB3_1; KB3_10,30,0.8666666666666667,0.43333333333333335,0.5777777777777778,0.8666666666666667,0.65,0.7428571428571429,KB1_1; KB1_15; KB1_16; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB2_3; KB3_1; KB3_10; KB3_18,12,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.5,1.0,0.8,0.8,1.0,0.6666666666666666,0.55,8,20,False,True
C19_CobaltRidge.pdf,C19,KB1_1; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_12; KB2_13; KB2_2; KB3_1; KB3_11; KB3_12,30,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.75,0.45,0.5625000000000001,KB1_1; KB1_16; KB1_6; KB2_1; KB2_10; KB2_11; KB2_2; KB2_3; KB3_1; KB3_10; KB3_18,11,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.4,0.6666666666666666,0.5,0.4,0.3333333333333333,0.3333333333333333,0.55,8,20,False,True
C20_Greenfield.pdf,C20,KB1_1; KB1_12; KB1_17; KB1_3; KB1_4; KB1_6; KB2_1; KB2_12; KB2_3; KB3_1,30,1.0,0.3333333333333333,0.5,0.7,0.35,0.4666666666666667,KB1_1; KB1_16; KB1_2; KB1_6; KB1_7; KB2_1; KB2_15; KB2_2; KB3_1; KB3_16,10,0.4,0.4,0.4000000000000001,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,1.0,0.5,0.55,8,20,False,True
C21_Meridian.pdf,C21,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_4; KB3_3,30,0.6,0.2,0.3,0.3,0.15,0.2,KB1_1; KB1_12; KB1_15; KB1_6; KB2_1; KB2_10; KB2_8; KB3_10; KB3_18,9,0.3,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.55,8,20,False,True
C22_Tidewater.pdf,C22,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_4; KB2_5; KB3_3; KB3_4,30,0.5833333333333334,0.23333333333333334,0.33333333333333337,0.5833333333333334,0.35,0.4375,KB1_1; KB1_15; KB1_16; KB1_2; KB1_6; KB2_1; KB2_10; KB2_15; KB3_18,9,0.25,0.3333333333333333,0.28571428571428575,0.3333333333333333,0.4,0.25,0.3333333333333333,0.0,0.0,0.55,8,20,False,True
C23_QuantumLedger.pdf,C23,KB1_1; KB1_17; KB1_5; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_6; KB3_3; KB3_5,30,0.6363636363636364,0.23333333333333334,0.34146341463414637,0.5454545454545454,0.3,0.3870967741935483,KB1_1; KB1_15; KB1_16; KB1_2; KB1_5; KB1_6; KB2_1; KB2_10; KB2_15; KB3_10; KB3_18,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.55,8,20,False,True
C24_SequoiaCrest.pdf,C24,KB1_1; KB1_11; KB1_17; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_7; KB3_6,30,0.7,0.23333333333333334,0.35,0.6,0.3,0.4,KB1_1; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB3_10; KB3_18,8,0.3,0.375,0.33333333333333326,0.3333333333333333,0.5,0.3333333333333333,0.5,0.0,0.0,0.55,8,20,False,True
C25_MarlinBay.pdf,C25,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_13; KB2_4; KB3_12; KB3_3,30,0.75,0.3,0.4285714285714285,0.75,0.45,0.5625000000000001,KB1_1; KB1_10; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB2_15; KB2_4; KB2_5; KB3_10; KB3_18; KB3_5,13,0.4166666666666667,0.38461538461538464,0.4,0.5,0.6,0.5,0.4,0.0,0.0,0.55,8,20,False,True
C26_CedarFalls.pdf,C26,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_4; KB3_3,30,0.8181818181818182,0.3,0.43902439024390244,0.8181818181818182,0.45,0.5806451612903226,KB1_1; KB1_10; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB2_4; KB3_10; KB3_18; KB3_5,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.42857142857142855,0.6,0.6666666666666666,0.6666666666666666,0.0,0.0,0.55,8,20,False,True
C27_LighthousePoint.pdf,C27,KB1_1; KB1_17; KB1_5; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_5; KB2_6; KB3_4; KB3_5,30,0.5833333333333334,0.23333333333333334,0.33333333333333337,0.4166666666666667,0.25,0.3125,KB1_1; KB1_15; KB1_16; KB1_2; KB1_6; KB2_1; KB2_10; KB2_15; KB3_10; KB3_18,10,0.25,0.3,0.2727272727272727,0.3333333333333333,0.4,0.25,0.3333333333333333,0.0,0.0,0.55,8,20,False,True
C28_Ironwood.pdf,C28,KB1_1; KB1_17; KB1_3; KB1_4; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_4; KB3_6,30,0.6363636363636364,0.23333333333333334,0.34146341463414637,0.6363636363636364,0.35,0.45161290322580644,KB1_1; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB2_11; KB3_18,8,0.2727272727272727,0.375,0.3157894736842105,0.2857142857142857,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.55,8,20,False,True
C29_Sprout.pdf,C29,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB2_1; KB2_12; KB2_13; KB2_4; KB3_3,30,0.8181818181818182,0.3,0.43902439024390244,0.7272727272727273,0.4,0.5161290322580645,KB1_1; KB1_10; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB2_4; KB3_10; KB3_18; KB3_5,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5,0.6,0.5,0.6666666666666666,0.0,0.0,0.55,8,20,False,True
C30_Solstice.pdf,C30,KB1_1; KB1_10; KB1_17; KB1_5; KB1_6; KB1_8; KB1_9; KB2_1; KB2_12; KB2_4; KB2_6; KB3_3; KB3_5,30,0.8461538461538461,0.36666666666666664,0.5116279069767441,0.6923076923076923,0.45,0.5454545454545455,KB1_1; KB1_10; KB1_15; KB1_2; KB1_6; KB2_1; KB2_10; KB2_4; KB3_10; KB3_18; KB3_5,11,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.42857142857142855,0.6,0.5,0.6666666666666666,0.5,0.3333333333333333,0.55,8,20,False,True
